app_id,unified_app_id,app_name,app_category,worldwide_release,initial_release,app_size,app_lang,multihoming,paid,in_app_purchases,app_description
768002043,0,Groups Treatment Groups Apple Translate ACATW Translator,Utilities,2013-12-06,2013-12-06,12.64,11,0,0,0,Limited Free ACATW Enjoy Translate is a very small and strong translation software support 72 languages translation 42 languages HD aloud and also support picture and voice recognition input. The translation results can be saved to the local disk that makes you use them at anytime! No matter which country you travel in you will not in trouble. This will make the oversea travel easy colorful exciting. Translation support for 72 languages . Pronunciation support for 42 languages . Image recognition support for 19 languages .
1664061658,0,Groups Treatment Groups Apple Translate Accurate All Translator Camera,Lifestyle,2023-01-14,2023-01-14,90.02,1,0,0,1,Support 100 language translation easy to operate quick translation The translation is accurate Privacy Agreement:https: toolboxqr.com PrivacyOther.html Terms of Service:https: toolboxqr.com ServiceOther.html
6445812847,0,Groups Treatment Groups Apple Translate AI Translate Camera Translator,Productivity,2023-10-24,2023-10-24,194.91,7,0,0,1,AI Translate Camera Translator with artificial intelligence This app is: AI Translator AI Voice AR Camera AI Translate with Video Translator photo translator voice translator and text translator Translate voice video text with AI using AR Translation and Language Camera translator Translate everything with your AI Translate camera translator app with AI Voice and AI Text translate conversation translate voice translate text translate documents translate and interprets environments landscapes and anything recognize humans object texts materials etc.. Augmented Reality and a precise translation engine in a single AI Translator and AR Camera with document translator AI Translate Camera Translator with AI Voice and AI Text allows you to have a conversation in another language and see the translated subtitles at the bottom of the screen in real time. Use it with smart AR glasses and travel understanding anyone you are looking at. You are using the most complete voice translator document translator photo translator and video translator in one app. The world of translated conversation is revolutionized with AR Translate Augmented Reality with artificial intelligence. It recognizes the human face the movement of the mouth and the gaze using artificial intelligence and in this way it can understand when someone is speaking to you offering a high quality language translator without interference. Translation and interpretation speed in real time with RA Camera thus achieving a total immersive translation experience. AR Camera recognition with Augmented Reality is better than a photo o camera translation these labels can be used to translate objects they are generated in space and time forever and keeping all the additional information since these labels are also interactive. Click on the button and access to the dictionary synonyms definitions voice translation and more The scene mode verifies an environment and gives you a result using in this case an object recognition tool landscapes documents etc. Recognizing landscapes and identifying complete images is possible thanks to the AI Translate Photo Translator Augmented reality AR Camera Translator These are some of the languages supported by Ar Translate Augmented Reality: Arabic English Bulgarian Catalan Simplified Chinese Traditional Chinese Croatian Czech Danish Dutch Estonian Finnish French German Greek Hebrew Hindi Hungarian Indonesian Italian Japanese Korean Lithuanian Norwegian Persian Polish Portuguese Romanian Russian Serbian Slovenian Slovak Spanish Swedish Thai Turkish Ukrainian Vietnamese and Welsh. For example you can use it like Spanish Translator or English Translator App. Subscription information: Length of Subscription: 1 month 3 day free trial or 1 year. Price: 9.99 per month billed monthly. 69.99 per year billed yearly. Subscription automatically renews unless auto renew is turned off at least 24 hours before the end of the current period. Payment will be charged to iTunes Account at confirmation of purchase. Account will be charged for renewal within 24 hours prior to the end of the current period and identify the cost of the renewal. Subscriptions may be managed by the user and auto renewal may be turned off by going to the user s Account Settings after purchase. Any unused portion of a free trial period if offered will be forfeited when the user purchases a subscription to that publication where applicable. Privacy Policy: http: www.talkao.com policy Terms of use: https: www.talkao.com terms_of_use
1529429079,0,Groups Treatment Groups Apple Translate AI Translator Speak Translate,Education,2020-11-05,2020-11-05,120.73,1,0,0,0,Speak and translate is free online all languages voice to voice translator and interpreter designed for the people who want to translate one language to another language. The beauty of this voice translator app is only you have to open the app select your desired languages and target language just speak and in return the app will translate the given sentence into your targeted language. The app is not only working with voice but it will also work when you need to write any text and translate it from one language to another if needed. This speak to translator and interpreter app is not only work as voice to voice translator but you can use this as a all languages voice dictionary. Whenever you need to learn or need to find out meaning of any word just open our translator app and input the word you want to learn the language. This all languages translator app do have a lot of features in the app listed as below. All languages translator and interpreter Main feature of the app is voice to voice all language translator free. All languages Voice dictionary The app will also work as all languages voice dictionary app used for education or any purpose. User can speak to translator from both side source and target and the app will translate to another selected language. This online speech to translator app have accurate voice recognition for all available languages. The app will save all conversation history user can use it whenever he she need it User can share the translated sentence conversation to any chat application The app contain over 100 languages All languages do have text to voice voice to voice and voice to text translation The app will work on voice to text and will translate from source to target language Every conversation do have the functionality to copy speak share or delete it Following are the famous language translation Chinese to English Spanish to english Dutch to English Italian to English French to English Filipino to English Thai to English Hindi to English Urdu to English Tamil to English African to English Albanian to English Arabic To English Arminian to English Following is the list of all supported language for voice to voice translator Afrikaans Albanian Amharic Bosnian Bulgarian Catalan Cebuano Chichewa Chinese Simplified Chinese Traditional Corsican Croatian Czech Danish Dutch English Esperanto Estonian Filipino Finnish French Arabic Armenian Azerbaijani Basque Belarusian Bengali Frisian Galician Georgian German Igbo Indonesian Irish Italian Japanese Javanese Kannada Kazakh Khmer Korean Kurdish Kurmanji Greek Gujarati Haitian Creole Hausa Hawaiian Hebrew Hindi Hmong Hungarian Icelandic Kyrgyz Lao Latin Latvian Lithuanian Luxembourgish Macedonian Malagasy Pashto Persian Polish Portuguese Punjabi Romanian Russian Samoan Scots Gaelic Serbian Sesotho Malay Malayalam Maltese Maori Marathi Mongolian Myanmar Burmese Nepali Norwegian Shona Sindhi Sinhala Slovak Slovenian Somali Spanish Sundanese Swahili Swedish Turkish Ukrainian Tajik Tamil Telugu Thai Urdu Uzbek Vietnamese
1614795543,0,Groups Treatment Groups Apple Translate AI Translator Text Voice OCR,Productivity,2022-03-18,2022-03-18,123.95,1,0,0,0,AI Translator is a very professional language translator for iPhone that can translate any language you type into any other language. At the same time AI Translator also provides instant voice and text translation. 100 languages supported Unlimited use friendly interface Multiple translation modes: including text voice and OCR translation 1.Text translation: select the translation language button from the main screen and enter text to achieve instant translation in over 100 languages. 2.Voice translation: Click the voice translation button say the word or sentence you want to translate and AI Translator will give you the corresponding answer. 3.OCR translation: Just click the camera translation button no matter it is a photo or any picture it can be easily translated into the text you need. The full featured and simple operation allows you to get started quickly and language is no longer an obstacle for you to receive information and explore new worlds. Whether you re visiting a new travel destination or workplace or just starting to learn a new language AI Translator is your essential translation assistant.
1664698380,0,Groups Treatment Groups Apple Translate AI Translator Voice Text Video,Utilities,2023-01-28,2023-01-28,40.12,1,0,0,1,AI Translator Your Bridge Across Languages Introducing AI Translator the all in one translation app that empowers you to: Translate voice: Speak in one language and hear the translated response in another in real time. Perfect for conversations interviews and presentations. Translate text: Type or paste any text and get instant accurate translations in over 100 languages. Great for emails messages and documents. Translate video: Record videos and watch them with subtitles in your chosen language. Unlock a world of global content. AI Translator is more than just a translation app. It s your key to: Connect with people from all over the world. Build relationships collaborate on projects and experience new cultures without language limitations. Expand your knowledge and horizons. Access information and entertainment in any language from news and educational resources to movies and music. Break down barriers and promote understanding. AI Translator can help create a more inclusive and connected world. With AI Translator you re not just translating words you re translating possibilities. Of course it also comes with a recording function to meet your daily study and work needs: Recordings: Users can easily record voices and sounds. Player: Play your recordings. Recording Studio: This studio helps users edit their recordings. You can cut merge remove insert denoise your audio clips. Download AI Translator today and start breaking down language barriers! SUBSCRIPTION is available to the user. With it there are no ads and no restrictions. Subscription terms Title: One Month Subscription length: 1 month Price: Free for 3 days then 14.99 month thereafter free trial Book Title: One Week Subscription length: 1 week Price: 3 days free then 4.99 per week free trial Payment will be charged to iTunes account at confirmation of purchase Subscription automatically renews unless auto renew is turned off at least 24 hours before the end of the current period Account will be charged for renewal within 24 hours prior to the end of the current period and identify the cost of the renewal Subscriptions can be managed by the user and auto renewal can be turned off by going to the user s account settings after purchase Any unused portion of a free trial period if offered will be forfeited when the user purchases a subscription to that publication where applicable You can cancel a free trial or subscription and turn off auto renewal at any time by going to your iTunes account settings. This must be done 24 hours before the end of the free trial or subscription period to avoid being charged. Cancellations will take effect the day after the last day of the current subscription period and you will be downgraded to the free service. Annual membership allows free trial or direct subscription. Free trial will be automatically charged after expiration. Free cancellation is available anytime during free trial period in personal account. If you have any questions feedback suggestions or just wanted to say hello please feel free to reach out to us at Shirley mobchang.com so we can continue to provide you with the best experience and updates. Terms of Service: https: sites.google.com view aiimagecreatortos home Privacy Policy: https: sites.google.com view aiimagecreator home
6462119099,0,Groups Treatment Groups Apple Translate AI TranslatorVoice Text Photo,Reference,2023-08-16,2023-08-16,131.92,1,0,0,1,120 LANGUAGES! REAL TIME Voice Text and Camera translation by AI support! AI Translator: Voice Text Photo is focusing on Improving quality of rendering translated text voice and Photos. Aim to break language barriers and connect people all over the world users can effectively communicate with people who speak different languages. Express yourself as if you were a native speaker! Turn your smartphone into your personal multilingual translator! Our app features advanced AI conversation and text to Photo Photo to photo technology ensuring accurate and reliable translations every time. You can use our app offline and enjoy auto language detection for convenience and flexibility. Key Features: Voice Translation: Speak the content for accurate and smooth communication. AI Chat advanced functions efficient photo translation Immediate translation of real time conversations Photo Translation: Get menus or signs for quick reference during travels. Use your camera for instant text translation Translate texts from your photos and pics Translate as you type in any of your favorite messaging apps Over 120 Languages Translation for speech to speech and text to text modes You can either speak or type to translate your text Terms of Service https: www.aitranslatorvoice.com termsOfSerice.html Privacy Policy https: www.aitranslatorvoice.com privacyPolicy.html
1387396772,0,Groups Treatment Groups Apple Translate AI Voice Translator Translate,Productivity,2018-06-29,2018-06-26,101.64,10,0,0,1,Impressive voice translator. You can have a conversation in any language. Use the voice to voice system or translate text in more than 100 languages. Translate Voice Translation is an application with which you can have a jconversation in any language with the help of the voice translator you can translate different texts and use the button to make the application speak and you can listen to the translation. Learn languages quickly and easily speak in your language to translate in a written or spoken way in the language of your choice more than 80 languages in text in Spanish English French German Italian Korean Chinese Japanese and 44 languages spoken as the ones mentioned above and many others such as Arabic Danish Dutch Portuguese Russian Finnish Indonesian Turkish or Vietnamese. Speaking and listening to languages is possible thanks to this translator with voice recognition and audio output from the text to the translated language. It also corrects the spelling suggestion of words preserves the history with your latest translations searches for a word or an entire phrase in the history shares texts and audios directly to instant messaging social networks mail search engine notes and other applications that you might have installed. Translating a word or phrases is quick and easy if you use this powerful translator translate your texts with voice recognition and listen to your translation thanks to the voice translation function. Translate Voice Translation includes the following features: Translate more than 80 languages. Voice recognition History of translations with search engine in the history. Voice output in more than 40 languages. Voice output settings: choose female or male voice and its speed Suggestions of words. Spelling correction. Share texts directly to other applications. Optimized for iOS 10: iPhone 6s iPhone 6s plus iPhone 7 iPhone 7 plus and iPad Pro iPad mini iPad Air iPad 4 Completely free and forever. Parts of the service translated by Microsoft . Parts of the service translated by Google Translate Listening to the translation of your favorite song or learning languages is feasible if you use this magnificent translator. You can translate texts into other languages without the help of dictionaries or translators on papers. The Translate voice function works with 44 languages: Arabic English Afrikaans Albanian Armenian Bosnian Catalan Simplified Chinese Traditional Chinese Croatian Czech Danish Dutch Estonian Finnish French German Greek Haitian Creole Hindi Hungarian Icelandic Indonesian Italian Japanese Korean Latin Latvian Macedonian Norwegian Polish Portuguese Romanian Swahili Russian Serbian Slovak Spanish Swedish Tamil Thai Turkish Vietnamese Wales Subscription information: Length of Subscription: 1 month 7 day free trial or 1 year. Price: 4.99 per month billed monthly. 39.99 per year billed yearly. Subscription automatically renews unless auto renew is turned off at least 24 hours before the end of the current period. Payment will be charged to iTunes Account at confirmation of purchase. Account will be charged for renewal within 24 hours prior to the end of the current period and identify the cost of the renewal. Subscriptions may be managed by the user and auto renewal may be turned off by going to the user s Account Settings after purchase. Any unused portion of a free trial period if offered will be forfeited when the user purchases a subscription to that publication where applicable. Privacy Policy: http: www.talkao.com policy Terms of use: https: www.talkao.com terms_of_use
1271407627,0,Groups Treatment Groups Apple Translate Air Translate Photo Translator,Productivity,2017-10-03,2017-10-03,80.69,14,0,0,1,Use your camera to scan translate texts or documents. Detect objects and recognize locations with one touch. Take a photo and translate anything! Scanning texts and documents have never been easier. Just take a photo and our powerful AI service detects text automatically. The camera can scan large documents in various languages and translate them into other languages. Air Translate is a godsend for business travel and learning. Translate road signs images titles documents books instructions notes ads and much more besides. Recognize physical objects locations places animals food and more. Hear read edit translate and share your text in seconds! Highlights: Scan text or documents and translate from and into more than 50 languages including English Spanish Chinese Arabic Portuguese German Japanese French and Russian Listen to translated text Detect objects and translate their names Recognize and translate locations Real time translations Edit Share text on Instagram Facebook Twitter etc. or send by email All translations are saved in history and can be found at any time Supports Languages: Afrikaans Albanian Arabic Bangla Belarusian Bulgarian Catalan Chinese Croatian Czech Danish Dutch English Esperanto Estonian Filipino Finnish French Galician Georgian German Greek Gujarati Haitian Creole Hebrew Hindi Hungarian Icelandic Indonesian Irish Italian Japanese Kannada Korean Latvian Lithuanian Macedonian Malay Maltese Marathi Norwegian Persian Polish Portuguese Romanian Russian Serbian Slovak Slovenian Spanish Swahili Swedish Tagalog Tamil Telugu Thai Turkish Ukrainian Urdu Vietnamese Welsh Zulu SUBSCRIPTION DETAILS Choose from different subscription options. Price may change depending on your country: 1 week subscription from US 7.99 1 week subscription with 3 day free trial from US 7.99 1 week subscription with 14 day free trial from US 7.99 1 month subscription from US 3.99 1 month subscription with 7 day free trial from US 3.99 1 month subscription with 3 day free trial from US 4.99 1 month subscription with 3 day free trial from US 7.99 1 month subscription with 7 day free trial from US 9.99 6 months subscription from US 29.99 1 year subscription from US 19.99 1 year subscription with 3 day free trial from US 29.99 1 year subscription with 7 day free trial from US 49.99 Subscription with a free trial period will automatically renew to a paid subscription. You can cancel your subscription in the iTunes settings at least 24 hours before the end of the free trial period. Subscription payments will be charged to your iTunes account at confirmation of your purchase and upon commencement of each renewal term. Please note: any unused portion of a free trial period if offered will be forfeited when you purchase a premium subscription during the free trial period. You can cancel a free trial or subscription anytime by cancelling your subscription through your iTunes account settings. This must be done 24 hours before the end of a free trial or subscription period to avoid being charged. The cancellation will take effect the day after the last day of the current subscription period and you will be downgraded to the free service. You can cancel your subscription via this url: https: support.apple.com en us HT202039 Privacy policy: http: mobiliojivisata.com privacy Term of use: http: mobiliojivisata.com terms IMPORTANT DISCLOSURES AND CONSENT If you live in the European Union and wish to cancel your order you may do so within 14 days. You can do this by following the process laid out in the Apple App Store. Please note and acknowledge: you cannot cancel your order or obtain a refund if you have downloaded the app and started using it i.e. for example by opening and using the app .
1508293869,0,Groups Treatment Groups Apple Translate All Language Translate App,Utilities,2020-04-18,2020-04-18,41.22,1,0,0,1,Language Translator AI is a leading professional Translator App to translate between 100 languages using features like text translator voice translator text to speech language translator with English conversation. Free translation app allows you to translate between all languages. Free translation app is especially helpful when you are out of the country or in a place where you do not know the local language or somewhere foreign. Language Translator Free Voice Text Translate All allows to speak and translate between multiple languages. Text and speech translator gives a fun and effective way to memorize vocabulary. Multi language and voice translator which allows you to take notes easily by speaking. Learn local indigenous languages including all International languages. If you re in a foreign place no need to worry just use language translator s speak to translate functionality to translate words pronunciation of the local foreign language. With this Language Translator Free Voice Text Translate All speak any words and voice language detector translator will convert spoken language to English or any foreign language to English and in this way you can translate all languages you want. Our Camera Translation section offers unique interface and functionality to allow you to translate multiple words in a picture. Our machine learning algorithms identify different words and phrases in images and offer and organized and intuitive list of translations. Each number and color will indicate a different target with the respective translation bellow Language supported: Afrikaans Albanian Arabic Armenian Azerbaijani Basque Belarusian Bengali Bosnian Bulgarian Catalan Cebuano Chichewa Chinese Simplified Chinese Traditional Croatian Czech Danish Dutch English Esperanto Estonian Filipino Finnish French Galician Georgian German Greek Gujarati Haitian Creole Hausa Hebrew Hindi Hmong Hungarian Icelandic Igbo Indonesian Irish Italian Japanese Javanese Kannada Kazakh Khmer Korean Lao Latin Latvian Lithuanian Macedonian Malagasy Malaysia Malayalam Maltese Maori Marathi Mongolian Myanmar Burmese Nepali Norwegian Pashto Persian Polish Portuguese Punjabi Romanian Russian Serbian Sesotho Sinhala Slovak Slovenian Somali Spanish Sundanese Swahili Swedish Tajik Tamil Telugu Thai Turkish Ukrainian Urdu Uzbek Vietnamese Welsh Yiddish Yoruba Zulu.
