"application_id";"title";"description"
"895333096";"Ben & Bella - Karaoke Show";"Improve your child’s English with the Ben & Bella Karaoke Show app!

This lively and entertaining app offers you 3 original English-language songs, 1 of which will be downloaded automatically as soon as you install the app. You may download the other 2 with one quick click. In addition to the 3 basic songs, 6 others can be purchased within the app. 

Each song is presented in a variety of videos, specially created to make learning the songs both easy and fun for your child: sing-along videos starring real-life children against an animated background as well as continuous and step-by-step instruction videos, in which the lyrics and their accompanying gestures are taught by a professional choreographer. The gestures that accompany the songs help to underline the meaning of the lyrics. 

A karaoke function allows your child to record and then save his/her singing and combine it with a song video. In addition, a video recording function allows your child to tape himself/herself and thus become a singing star! Saved videos can be shared with friends.

This app also includes bonus animated video books related to the subject of each song."
"1217002622";"Karaoke Music - Sing & Record";"Sing over microphone with unlimited recorded tracks.
Karaoke MUSIC presents a complete Music Application for Karaoke lovers to sing and record their favorite tracks to create the music covers in their iPhone/iPad with some simple steps.

FEATURES
    * No subscriptions.
    * Unlimited Karaoke Songs.
    * Unlimited Covers.
    * Listen your created covers.
    * Search unlimited covers of specific song.
    * Categorized collection.
    * Millions of songs..
    * 50s to 2019.
    * Every language support."
"1457532781";"Sumi Plus";"Phan mem quan lý karaoke, cafe, nhà hàng cho doanh nghiep. Quan lý tính tien bàn, tien hát, san pham, dich vu. Quan lý thu chi và quan lý kho don gian, de su dung."
"1397269337";"SINGNOW";"SINGNOW dem den nhung tính nang da dang giúp nguoi dùng su dung và thuong thuc karaoke mot cách de dàng.
1)	Ung dung dieu khien uu viet: dat bài hát, thu âm, dieu chinh cao do, nhip do, âm luong, doi tone, …
2)	Tìm kiem bài hát de dàng
-	Tìm bài hát bang tua bài hát, tên ca si, nhac si.
-	Tìm kiem voi ký tu day du hoac bang ký tu dau tiên cua moi chu.
-	Tìm kiem bài hát bang giong nói.
3)	Danh muc bài hát da dang
-	Top 100, Bài hát moi, Bài hát theo chu de.
-	Tao danh sách bài hát yêu thích, danh sách phát tu dong.
4)	Luu và chia se bài hát dã thu âm cua ban cung nhu diem so và thành tích cua thu thách “Cao Do Hoàn Hao” voi ban bè và gia dình.
5)	Tính nang Karaoke Video
-	Hát karaoke voi loi bài hát duoc hien thi ngay trên dien thoai thông minh nho tính nang Karaoke Video.
-	Thiet lap hình anh tùy ý de làm hình nen cho Karaoke Video.
-	Hai tùy chon: su dung video hoac hình anh de làm hình nen cho Karaoke Video.
6)	Cap nhat bài hát moi hàng tháng de dàng và thuan tien"
"1385014271";"Sing by Stingray";"The only thing better than singing is more singing :)

Sing Karaoke is a brand new karaoke app that lets anyone sing karaoke for free, anytime, anywhere.

With 'Sing Karaoke' you can sing along to over 50,000 karaoke songs in almost any genre & language.

Whether you want to sing today's hits or yesterday's classics, if you are looking for Portuguese, English or Spanish songs, browse our huge catalog or search for the songs you love.

Experience the incredible magic of Sing Karaoke and get Creative:

* Pick your favorite songs from our songbook.
* Sing, record and edit your karaoke songs with a variety of voice & video effects!
* Share your creation with our growing community of over 100M singers or simply share on your Facebook, Instagram, WhatsApp, Snapchat and many more
* Get acquainted to singers like you, sharing their creations! Join their Duets, follow their profile, leave a like or write a comment.

You may also want to try our other features:
* Sing with Pitch tracking to make sure you sing on key.
* Perfect your recordings using our Rewind feature.
* Add pictures & videos to your vocal recording using our slideshow wizard.


If you have questions or suggestions, please share them with us! support@singkaraoke.app

P.S. If you love Sing Karaoke by Stingray, we'd be thankful if you'll rate us on our AppStore page!


UNLIMITED PREMIUM SUBSCRIPTION

- You can subscribe for unlimited access to our VIP song catalog

- The subscriptions are weekly, monthly and annual*

- You'll be able to sing any song as well as record, save and share as much as you like.

- Payment will be charged to iTunes Account at confirmation of purchase

- Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period

- Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal

- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase

- No cancellation of the current subscription is allowed during active subscription period

- Privacy Policy - http://www.singkaraoke.app/privacy

- Terms of Use - http://www.singkaraoke.app/terms"
"865190564";"Mon premier alphabet LT";"Un jeu amusant pour découvrir les lettres et l'alphabet, dès 3 ans !

Grâce au jeu des ballons, votre enfant apprendra à reconnaitre et à écrire des mots simples : 
- au niveau 1, le modèle du mot est affiché en majuscules(par exemple PAPA, MAMAN, CHAT...). Il faut faire éclater, dans le bon ordre, les ballons où figurent les lettres du mot. 
- au niveau 2, on joue avec les lettres minuscules.
- au niveau 3, majuscules et minuscules sont mélangées.
- au niveau 4, vous choisissez et tapez les mots à retrouver : par exemple le prénom de l'enfant ou le vôtre, les noms de ses ami(e)s ou de son animal préféré... Les possibilités sont infinies !

Un petit chaton sympathique et plein d'humour accompagne l'enfant dans le jeu.

Avec les achats intégrés, vous avez accès à d'autres activités éducatives : découvrir l'alphabet en images, associer majuscules et minuscules, composer des puzzles, colorier l'abécédaire, jouer avec la machine à mots, chanter le karaoké des lettres... 

""Mon premier alphabet LT"" est réalisé par Génération5, n°1 français des applications numériques pour l'éducation. De nombreux programmes de Génération 5 sont ""Reconnus d'Intérêt Pédagogique"" par le Ministère de l'Education Nationale."
"894747888";"Karaoke Mobile - Tìm mã so bài hát 5, 6 so karaoke Arirang, MusicCore";"Top 1 ung dung tìm kiem mã so bài hát Karaoke trên các dau so Karaoke pho bien:  Arirang 5 so, Music Core, VietKTV và California
Cap nhat den Vol 59 dau Karaoke Arirang và Vol 92 dau Karaoke Music Core voi nhung bài hát moi nhat.

Ban do dia diem hát karaoke:
 - Tìm kiem dia diem hát karaoke trên ban do nhanh chóng và tien loi.
 - Ban se có trong tay tat ca các quán hát karaoke ngay xung quanh ban dang dung.

Giao dien don gian và tien ích.

Ho tro các chuc nang tìm kiem nâng cao nhu:
 - Tìm theo loi mo dau bài hát.
 - Tìm theo tên tác gia hoac ca si.
 - Tìm theo mã so bài hát
 - Loc theo vol và ký tu dau tiên bài hát.
 - Liet kê danh sách bài hát yêu thích.
 - Tìm dia diem hát karaoke trên ban do.
 - Goi ý dia diem hát karaoke ngay xung quanh ban.

Thêm tính nang moi:
 - Sao luu bài hát yêu thích online
 - Dong bo bài hát yêu thích lên tat ca các dien thoai khác nhau

De ung dung ngày càng hoàn thien hon xin hãy giúp chúng tôi dánh giá ung dung trên Appstore nhé!

Moi ý kien, góp ý ban có the liên he voi chúng tôi qua Facebook Fanpage :
https://www.facebook.com/karaokemobileapp

Xin cam on ban dã su dung chuong trình."
"980538523";"1secCamera:Clipbox";"It's easier than movies and more impressive than the photos!

? Recommended situation ?

[With friends and family.]
-Memories of travel.
-Drinking, dancing and karaoke.
-Recording the growth of kids.
-Surprise movie for the birthday party or wedding.
-Memories of Graduation and retirement.

[But also for things.]
-For dishes. You can take even steam!
-Swaying flowers and dropping water.

[As life log or memorandum]
-Taking cooking procedure to recipe videos.
-Take the same thing everyday for a month.
 For example, your face. You may see your hair expanding!

?? Main functions ??
----------------------------------------
1. 1 second Camera
----------------------------------------
You can take 1 second video tapping shooting button.
Let's take a lot at the photo sense!
***Note***
1 second video is the capacity of much the same with the photographs taken by iPhone!

----------------------------------------
2. Viewer
----------------------------------------
? 1sec
This is the album page of one second video you took.
Swipe to the next video, it will be played in the auto play.

? Album
This is the album of the edited video. 
You can playback them, share to SNS and save the camera roll too.

----------------------------------------
3. Edit
----------------------------------------
You can make short movies with combine 1 sec movies you took.

? Video length / 3-32 seconds
(Video will be +1 seconds with title. You can select 3-31 frame videos.)
? Filter / 15 type
? Music / up to 33 songs
? Title insert / one place for one second

----------------------------------------
4. Share
----------------------------------------
Edited video can be saved to the camera roll, of course, post to SNS easy too. Let's share the memories with everyone :-)

? Instagram
? Twitter
? Camera Roll
? AirDrop
? OpenIn (Facebook, Dropbox, Evernote, etc.)

----------------------------------------


??? Please note! ???

1 second videos are saved only in the application,
It will disappear when you delete the app.
When you have to change the phone or you've tired of this app, please try to save to PC by File Sharing of iTunes.
If you don't know how to save them, please contact us from settings by E-mail."
"1461460422";"TUTTI CRESCENDO (ALGAR)";"Aplicación digital para complementar los contenidos de Tutti crescendo a través de:
•	Actividades interactivas 
•	Audiciones 
•	Musicogramas 
•	Visores con lector de notas o karaoke
•	Metrónomo y pentagrama digital
Tutti crescendo es el proyecto de Música para primaria de Algar Editorial. Se trata de un proyecto con gran implantación en varias comunidades autónomas con una larga tradición musical pensado para que el alumnado disfrute de la música desde una perspectiva fundamentalmente práctica.
El proyecto cuenta con seis cuadernos que basan el aprendizaje de la música en canciones populares y de otras culturas, en actividades de lectura rítmica y melódica, y de creatividad y escritura.
"
"1413139103";"MOMO - More Music More Movies";"MOMO - More Music More Movies was developed with Slogan ""A Daily Dose of Entertainment.""
MOMO - More Music More Movies is a product, powered by Nepal Telecom, developed with an aim to entertain users with a wide variety of content (Songs,Movie, Music, Music  Videos, Karaoke,  TV Shows, News and Much More) . The Application MOMO - More Music More Movies have more than 5000 plus Music (songs) ,500 plus Latest Movies, 1000 plus trending Music Videos, karaoke features (users can give a sound in the Song’s track as well as in Music Videos with subtitle), TV Shows, News. The Application MOMO - More Music More Movies, (Movie n Masti / MOVIE and Masti / Movie & Masti) aims to cater to the wide range of people from all age groups and from various regions by providing them with supreme features.
This application is developed by New IT Venture Corporation collaboration with Music Nepal.

Before the MOMO - More Music More Movies, the application was branded with Movie n Masti (MOVIE and Masti, Movie & Masti). Now the application provides more features than earlier and rebrands the application with MOMO - More Music More Movies name. The application MOMO - More Music More Movies has the following Contents.

	Music (More Music/songs Than Earlier)
Movie (More Movies Than Earlier)
Music Videos (More Music Videos Than Earlier)
Karaoke [This is the new Features & also First time in Nepal that have introduced by MOMO - More Music More Movies (MOVIE and Masti, Movie & Masti) ]
Tv Shows
Latest News Update



MOMO - More Music More Movies App Features:

	5000 plus Music (songs)
500 plus New Movies
1000 plus Music Videos
Karaoke (users can sing along with recorded music track and music videos using their MIC)
TV Shows
Latest News Update
Download features for Movies and Music
Offline Experience
Notifications and Interactive Social Engagements
DVR and EPG Function for LIVE TV Channels
Smooth Streaming 


History of  MOMO - More Music More Movies App:
MOMO - More Music More Movies was launched on 9th Oct 2018 with the name of Movie n Masti (MOVIE and Masti, Movie & Masti), later the application was rebranded with MOMO - More Music More Movies on 12th Feb 2020. Before the rebrand, the application was limited only in Nepal now. After this rebrand, the application has opened globally.  

As we know MOMO is the popular and easy access food in Nepal, Likewise the application MOMO - More Music More Movies provides its users popular and trending Videos, Movies, Music, and songs through the app and user-friendly UI that makes easy access for the user. 

MOMO - More Music More Movies is an entertainment application where the users can log in through their Facebook, email, and NTC (Nepal Telecom) phone number and watch Nepalese Music(Geet), Movies, Music Videos, Live TV channels, karaoke features, TV Shows, And Latest News. 

Popular Movies Of MOMO - More Music More Movies:
Happy Days
Baby I Love You
Anaagat
Gaja Baja
Sushree Sampati
Gopi
Alvida
Rahadani
Hairan
America Boys
Satru Gate
Homework
ATM
Jerry
Bir Bikram
Karkash
Reni
Rudra
And many more

Popular Music Videos Of MOMO - More Music More Movies:
Aaija oye Kaal
Butte Rumal
Amilo Rasaile
Napattaye Chiri He
 
Malai Dukhda Dukhne Mutu
Dohorika Fan
Chhutiyera Timi Sanga
Malai America yehi
Afu Dukhi Banera
Ma Bachekai
Muskan Othaiko
Mirtu Rojna
And many more
 
Popular Music (Songs) Of MOMO - More Music More Movies:
Saun Farki
Panchebaja
Jati Samma
Herda Ramro Machhapuchhre
Bahana Anautho
Timilai Bhulda
Kul Tharale
Classic Movies songs
Arun Thapa Popular Songs
Shishir Yogi songs
Nabin Bhattarai Collection
Modern Songs Collection
And many more


Terms of Use : ""https://drive.google.com/file/d/1phgC7MqCDS3L1yh9pbGgv4PP46ADwYVF/view?usp=sharing""
"
