app_id,unified_app_id,app_name,app_category,worldwide_release,initial_release,app_size,app_lang,multihoming,paid,in_app_purchases,app_description
1008197697,0,Groups Control Groups Voice Recording and Karaoke Apps 360 Writer Voice Recorder,Utilities,2015-07-30,2015-07-29,64.34,9.0,0,0,1,360 Writer is your personal assistant that records and transcribes your meetings interviews lectures or phone calls while keeping all the information well organized easily searchable and shareable with your other apps and people. Many features single app. AUDIO RECORDING 360 Writer enriches the basic recording function with a set of smart features to transform the recording into a transparent and organized piece of information. Unlimited length and number of recordings Smooth and easy to use design Unlimited number of notes photos or marks anywhere in the recording Preview edit or delete notes with a single tap Record and playback in the background Highlight important parts of the track while recording or playback Import recording from any cloud service Dropbox Google Drive... Interruption protection continue recording after answering a phone call 5 adjustable sampling rates up to 48 kHz 3 different recording formats: M4A CAF WAV CALL RECORDING Unlimited recording of phone calls Ultimate availability working on the same network as standard phone calls Data protection use of only top class certified technology Local US MEX UK number Recording downloaded directly to the app MACHINE TRANSCRIPTION Cutting edge AI technology Short turnaround time length of recording 1.25 Suitable for clear and high audio quality recordings No hassle record transcribe edit export all done in a few clicks Unique Smart Editor to perfect your transcript in the app or on the web SHARING EXPORT Export Recording Notes via Dropbox Google Drive OneDrive Email... Share Recording Notes via URL link WiFi sharing Play or Download using a computer MANAGEMENT Deep search recordings by the title or notes Add delete or rename recording files PRO Version Features Folder management Auto detect silences smart algorithm for skipping silences manual automatic mode Extra sampling rates 32 44.1 48 kHz Subscription options: MACHINE TRANSCRIPTION: Renews monthly Lite Plan Transcribe 30 min of audio. Basic Plan Transcribe 2 hours of audio. Pro Plan Transcribe 5 hours of audio. CALL RECORDING: Weekly Plan Unlimited call recording for 1 week. Monthly Plan Unlimited call recording for 1 month. Yearly Plan Unlimited call recording for 1 year. Price may vary by location. Subscription will be charged to your credit card through your iTunes account. Subscription automatically renews unless auto renew is turned off at least 24 hours before the end of the current period. Account will be charged for renewal within 24 hours prior to the end of the current period and identify the cost of the renewal. Subscriptions may be managed by the user and auto renewal may be turned off by going to the user s Account Settings after purchase. If you like 360 Writer we would love if you left a great review in the App Store! Just a couple kind words or a simple star rating helps a lot! Because privacy matters! Privacy Policy: https: support.apptoro.agency en blog 360writer privacy Terms of Use: https: support.apptoro.agency en blog 360writer terms
1409288270,0,Groups Control Groups Voice Recording and Karaoke Apps AcouScriber,Productivity,2019-01-10,2019-01-10,13.99,1.0,0,0,1,AcouScriber is a simple light weight tool that performs conversion between text and speech. On the one hand it utilizes Apple s built in speech recognition engine to transcribe human voice into text bringing a type free feature to users who prefer using their voice as input. The clean and self explanatory user interface allows for an instant switch between keyboard editing and voice recognition supporting a wide range of languages and delivering accurate and satisfactory text that can be sent as a message or email or shared on your social network. On the other hand text can be read out with synthesized voice by a simple tap. This enables the reception of information without having to look at the screen which comes in handy for users with disabilities or users preferring audible content over text. Multiple parameters can be tuned and various languages and voices can be selected to generate the speech that is mostly pleasing to the ear. With the additional pro features the user experience is further enhanced by a waveform display that serves as an instantaneous feedback on the intensity of your voice input and a progress indication and highlighting that keep track of the currently spoken word.
1382478687,0,Groups Control Groups Voice Recording and Karaoke Apps AcousticLab,Utilities,2020-07-23,2020-07-23,14.89,2.0,0,0,1,AcousticLab is a professional stereo recorder APP developed by ZKXY a member of BSWA Group . This APP will turn your iOS device into a professional noise measurement device with precise sound acquisition and analysis. The measurement system will fulfill the requirement of IEC and ASTM standards when using an external stereo sound card and precision microphones. The input channels microphones can be calibrated with a standard calibrator to get the actual sound level of test signals and the output channels also can be corrected according to the surrounding environment. Support mono and stereo recording. The input channels can be calibrated with standard sound level calibrators or manually input the calibration factor. Support two kinds of setting to automatically trigger the recording. Prerecord function ensures every important signal will be capture. The key position of the signal can be easily marked and playback. The volume of the two playback channels can be adjusted respectively. Monthly description of audio data package: FFT analysis of audio data. File format modification caf wav . Subscription cycle: 1 month continuous monthly products Subscription price: 9.99 month Unsubscribe: manually open Settings of mobile phone enter app store enter account settings page click subscribe to unsubscribe manually Privacy Policy: http: neyue.com.cn newsshown_7.html Terms and Conditions: http: neyue.com.cn newsshown_6.html
6445858353,0,Groups Control Groups Voice Recording and Karaoke Apps AI Transcribe Speech to Text,Utilities,2023-03-07,2023-03-07,118.71,21.0,0,0,1,Are you looking for a privacy safe way to transcribe audio video and podcast files Do you worry about your data being leaked when you want to use AI to transcribe meeting records and improve work efficiency AI Transcribe provides AI powered transcription services that can run completely on device without internet connectivity. No data is uploaded ensuring the security and privacy of your data. Audio to Text Transcription Quickly transcribe meeting recordings into meeting summaries and convert classroom audio recordings into class notes. Eliminate the need for manual note taking saving time and increasing productivity. Video Subtitling Supporting various common video formats AI Transcribe can efficiently transcribe videos into subtitles improving the efficiency of subtitle production. No internet connection is required and there s no need to upload videos ensuring video confidentiality. Podcast to Text Transcription Transcribe podcasts into text breaking the linear time constraints of podcasts and accelerating information retrieval from podcasts. Make podcasts searchable and valuable sources of information. Create Recordings and Recordings Editing Create recordings and transcribe recordings by one click. Learn More Supported Languages: https: ai.bluepill.life langs.html Subscription Agreement and Terms of Use: https: www.apple.com legal internet services itunes dev stdeula Privacy Notice: https: ai.bluepill.life privacy.html
1521107428,0,Groups Control Groups Voice Recording and Karaoke Apps AI Voice Recorder NoiCanRec,Utilities,2020-07-05,2020-07-05,541.78,2.0,0,0,1,NoiCanRec is a noise canceling audio recorder app that uses artificial intelligence AI . It can automatically remove wind noise and buzzing surrounding voices that come in when you record outdoors. For example if you record an interview but later listen back to it you will hear that the voices around you are a little too loud... It s time to use Noise Cancelling. You can run it on your iOS device or in the cloud for noise cancellation. The device execution is completely free. Cloud execution requires billing or using a ticket that you get when you see an ad. Cloud execution is faster and better quality noise cancelling process than smartphone execution. Other audio files can be noise cancelled as well. With the import feature you can also import audio files recorded by other apps devices It can be noise canceling processing. If you want to run it on your device please convert it to 16 kHz mono WAV format before importing it. If you want to run it in the cloud it will be converted automatically and you can import it as is.
1058772564,1000600000619899,Groups Control Groups Voice Recording and Karaoke Apps AIS Karaoke,Music,2016-02-17,2016-01-25,90.89,3.0,1,0,0,Name: AIS Karaoke ร องคาราโอเกะบนม อถ อ Subtitle : Sing MV Karaoke Let s Sing and Fun! ร องเกะให เป ะ ม นส ได ท กท สน กได ท กเวลา AIS Karaoke แอพร องเพลงคาราโอเกะ ฟ งเพลง ด MV ใหม ล าส ด ม เพลงให เล อกร อง เล อกฟ ง ท งเพลงไทย เพลงเกาหล เพลงล กท ง เพลงป อบ เพลงสตร ง เพลงร อค เพลงอ นด เพลงส นทราภรณ เพลงเพ อช ว ต เพลงหมอลำ และอ กเพ ยบ หร ออยากลองเล นด ก อน ก ม เพลงให ลองร องฟร ด วยนะ อ พเดตเพลงใหม ท กๆ ว น ให ค ณเล อกร องได สน กได ท กอารมณ ด วย Sing MV Karaoke Let s Sing and Fun! ให ค ณสามารถ ร องเพลงคาราโอเกะและสน กก บ MV Karaoke สวยๆ เพลงมากมาย ปลดปล อยและค นหาความเป นต วค ณก บบทเพลงคาราโอเกะมากมาย หลากหลายค าย หลากหลายอารมณ ก บเพลงฮ ตมากมายท งเก าใหม ท เราค ดสรรมาให ค ณได ร องคาราโอเกะแบบเพล นๆ ตามอารมณ ของค ณ ไม ว าท ไหน เม อไหร ก ได เลย ฟ เจอร ส ทธ พ เศษสำหร บผ ใช งานแบบ VIP จะได ร บส ทธ พ เศษมากมาย สน กก บการฟ งเพลงร องเพลงคาราโอเกะก บเพลงฮ ตค ณภาพส งระด บ HD ร องเพลงฮ ตท งเก าและใหม ท ร องก นได แบบไม จำก ดครอบคล มเพลงหลายประเภท เพ อค นหาเพลงท ร องโดยศ ลป นคนโปรดของค ณ ด วยระบบค นหาเพลงเพ อช วยค ณในการค นหาเพลงคาราโอเกะส ดโปรดได ง ายๆ สร างเพลย ล สต หร อสถาน เพลงส วนต วไว ชอบร องคาราโอเกะเพลงไหน ก เก บเข าเพลย ล สต ส วนต วได เลย อยากร องเม อไหร ก ได ไม ม สะด ด ฟ งเพลงหร อร องเพลงคาราโอเกะได ไม จำก ดค ายเพลง เพลงคาราโอเกะยอดฮ ตจะถ กอ พเดตอย างรวดเร ว ทำก จกรรมร องคาราโอเกะไปก บเพ อน ๆ หร อก จกรรมก บศ ลป นคนโปรดคนด งมากมาย! ไม ม โฆษณารบกวน ดาวน โหลด AIS Karaoke ก นเลยจ า!
498425561,1000600000451028,Groups Control Groups Voice Recording and Karaoke Apps Alon Dictaphone Voice Recorder,Business,2012-02-06,2012-02-06,74.83,30.0,1,1,0,ALON Dictaphone 是一款专业音频语音听写应用 适用于追求市面上最高品质听写和录音设备的人群 您可以使用 ALON Dictaphone 迅速听写笔记和备忘录 还可以使用手机麦克风记录会议 演讲 访谈和日常声音 是时候解放您的双手 丢弃传统的记事本了 摆脱您的笔记本 开始为您所需的一切录音 不管是待办事项清单 还是至关重要的备忘录 此外 您还可以跟任何人分享您的整个会议和演讲的讲稿 跟您的朋友 家人 同学和同事分享录音时 不仅速度飞快 而且很容易上手 关键特性 超高品质录音 最高支持 48000 Hz 320kbps 所有听写和笔记采用 MP3 WAV 格式 编辑选项 追加 裁剪 剪切 改写 插入 组合录音 支持立体声 支持外接麦克风 iTunes 文件共享 上传录音到 Dropbox SoundCloud GoogleDrive OneDrive SharePoint YouTube Box Evernote FTP HTTP WebDAV 服务器 调整麦克风增益灵敏度 以不同速度记录和回放背景声 x0.5 x0.8 x1 可选择跟 Dropbox 自动同步录音 跟 iCloud 同步录音 音频书签和首选项 书签 时间 照片 文字注释 其他特性 录音排序 按名称 时长 大小 创建日期和类型 支持蓝牙外置头戴式耳机 从支持导出的其他应用程序导入录音 将录音导出到支持导入的其他应用程序 在设备处于睡眠模式时录制 回放 在有电话呼入时自动暂停 回放 录制定时器 快速前进 倒带 使用音频书签进行简单编辑 可选择根据书签创建播放路线 声控录音 在无声时停止录音 一次性发送或删除多条录音 为录音分类和排序 调整回放速度 其他 该应用提供一个全面的帮助手册 其中描述并逐步介绍了该应用程序的所有功能 如果您需要录音 可以使用 ALON Dictaphone 记录和分享会议记录 课堂讲课甚至海浪撞击的声音 使用您的语音来听写笔记 备忘录以及待办事项清单 不再需要手忙脚乱地用记事本手写笔记了 ALON Dictaphone 会将高品质的录音送到您的手上 支持您听写您的所有笔记和备忘录 立即下载 ALON Dictaphone 将来可免费升级 此应用程序不适用于电话录音 ALON Software 很希望倾听您的建议和反馈 了解如何改进我们的音频语音听写录音工具 如有任何疑问 建议和想法 请访问 http: alonsoftware.com support.php 如需了解更多信息 请访问 http: www.alonsoftware.com dictaphone_apple.php
290160980,1000600000001823,Groups Control Groups Voice Recording and Karaoke Apps Audio Memos Pro,Business,2010-01-01,2008-09-09,44.33,10.0,1,1,0,Audio Memos is a professionally made audio recorder. It has an amazingly intuitive interface which is easy to use and full of powerful features. Use it in interviews lectures music session briefings ... and simplify your recording tasks. TOP FEATURES Best quality adjustable to fit your needs. Amazingly loud hear your recordings. Position bookmarking easy navigation. Voice activated rec. stop recording silence. Background recording multitask at will . Audio compression email hours of recordings. Insert audio insert comments easily. Cloud uploads access your memos everywhere. Transcription transform your memos into text. MORE FEATURES Email your recordings. USB file transfers. Upload to Dropbox Google Drive Box Evernote FTP or WebDAV. Adjustable reading speed. Edit your recordings trim overwrite merge . Memo alert dates reminders. Search Sort Filter your recordings. Variable speed scrubbing. Add pictures to a memo. Transfer recordings to a computer using WiFi. Records when your device is in sleep mode. Pauses automatically on incoming phone calls. Timer activated recording. Application lock code. recording will stop if another app uses the audio system
304075033,1000600000001823,Groups Control Groups Voice Recording and Karaoke Apps Audio Memos SE,Business,2009-02-06,2009-02-06,50.78,10.0,1,0,1,Audio Memos is a voice recorder for the iPhone and iPad. What you ll really like about Audio Memos is that you can actually HEAR your recordings try it and compare you ll hear what we mean . It s also easy to use with a simple and intuitive interface. Yet with many advanced features as volume boost volume normalizing editing of recordings and more. Most of these features are exclusive to this program which makes it one of the most advanced recorder. This is a great recorder don t just take our word for it: Audio Memos Free has been featured by Apple in the What s hot section. Your recordings are stored on your device but can be backed up to your computer using a simple web browser or by email . See our website for more details. FEATURES Send recordings by email. High quality recordings up to 44100 Hz. Three levels of quality are available: 11025 Hz 22050 Hz and 44100 Hz. Professionally engineered audio normalizing filter which enables you to have a constant average volume on all your recordings. This feature does not modify your recordings so you can turn it on even if you intend to post process your audio files on a computer. Wide range volume control using a volume boost. While listening to a recording volume can be increased using your device s volume keys. If you find this insufficiently loud you can adjust the volume boost in the application s settings. Normalizing and boosting filters use dynamic compression with a non linear function to prevent clipping and minimize distortions. Note however that eventual clipping and distortion created by the microphone are not suppressed. If you care about quality use the headset s microphone instead of the built in one. Records even when your device is in sleep mode and pauses automatically in the event of an incoming phone call. Advanced listing of your recordings which displays name date length and size information. A detailed view is also available for each recording. This view gives extra information such as quality and download status of a recording. Must have controls as pause record pause play slider quality control. Uses widespread wav format to store recordings so you can transfer and read them on any device. SUBSCRIPTION All features listed above can be used without an in app purchase. Some advanced features require an active subscription. These include: Voice activated rec. stop recording silence. Upload to Dropbox Google Drive Box Evernote FTP or WebDAV. Insert audio insert comments easily. Position markers easy navigation. Audio compression email hours of recordings. Memo alert dates reminders. Adjustable reading speed. Add pictures to a memo. Send or delete multiple recordings at a time. Edit your recordings trim overwrite merge . Transcription transform your memos into text. Stereo recording using the builtin microphones requires a compatible device and a Pro subscription . Duration and price of each subscription are displayed in our storefront. All subscription costs will be charged to your Apple ID account starting at the confirmation of purchase. Subscription automatically renews unless it is canceled at least 24 hours before the end of the subscription period. Your account will be charged for renewal within 24 hours prior to the end of the subscription period. It is not possible to cancel a subscription period once you have been charged for it. Any unused portion of a free trial period is forfeited as soon as a subscription is purchased. You can manage subscriptions and disable auto renewal by going to your account settings on the App Store after purchase. Terms of Service: https: imesart.com legal terms of service.php
338550388,1000600000001823,Groups Control Groups Voice Recording and Karaoke Apps Audio Memos,Business,2009-11-25,2009-11-25,44.56,10.0,1,1,1,Audio Memos is a professionally made audio recorder. It has an amazingly intuitive interface which is easy to use and full of powerful features. Use it in interviews lectures music session briefings ... and simplify your recording tasks. The New York Times A really useful feature is that the app can automatically start recording the moment it is started LifeHacker The best voice recording app TUAW Powerful inexpensive and useful Apple What s hot section TOP FEATURES Best quality adjustable to fit your needs. Amazingly loud hear your recordings. Background recording multitask at will . iCloud access your memos everywhere. Transcription transform your memos into text. MORE FEATURES Email your recordings. USB file transfers. Append audio to existing recordings. Search Sort Filter your recordings. Variable speed scrubbing. Send recordings to a computer using WiFi. Records when your device is in sleep mode. Pauses automatically on incoming phone calls. No time limit on recording length. Application lock code. SUBSCRIPTION All features listed above can be used without an in app purchase. Some advanced features require an active subscription. These include: Voice activated rec. stop recording silence. Upload to Dropbox Google Drive Box Evernote FTP or WebDAV. Insert audio insert comments easily. Position markers easy navigation. Memo alert dates reminders. Adjustable reading speed. Add pictures to a memo. Send or delete multiple recordings at a time. Stereo recording using the builtin microphones requires a compatible device and an active Pro subscription . Duration and price of each subscription are displayed in our storefront. All subscription costs will be charged to your Apple ID account starting at the confirmation of purchase. Subscription automatically renews unless it is canceled at least 24 hours before the end of the subscription period. Your account will be charged for renewal within 24 hours prior to the end of the subscription period. It is not possible to cancel a subscription period once you have been charged for it. Any unused portion of a free trial period is forfeited as soon as a subscription is purchased. You can manage subscriptions and disable auto renewal by going to your account settings on the App Store after purchase. Terms of Service: https: imesart.com legal terms of service.php recording will stop if another app uses the audio system.
