ngram,frequency
"('privacy', 'policy', 'https')",47
"('end', 'current', 'period')",40
"('hours', 'end', 'current')",31
"('least', 'hours', 'end')",29
"('terms', 'use', 'https')",28
"('hours', 'prior', 'end')",19
"('prior', 'end', 'current')",19
"('terms', 'service', 'https')",19
"('renewal', 'within', 'hours')",18
"('within', 'hours', 'prior')",18
"('account', 'charged', 'renewal')",17
"('charged', 'renewal', 'within')",17
"('account', 'settings', 'purchase')",16
"('account', 'confirmation', 'purchase')",14
"('note', 'taking', 'app')",14
"('charged', 'itunes', 'account')",13
"('https', 'wwwapplecom', 'legal')",12
"('internet', 'services', 'itunes')",12
"('iphone', 'ipad', 'mac')",12
"('itunes', 'dev', 'stdeula')",12
"('legal', 'internet', 'services')",12
"('period', 'account', 'charged')",12
"('purchase', 'subscription', 'automatically')",12
"('services', 'itunes', 'dev')",12
"('turned', 'least', 'hours')",12
"('wwwapplecom', 'legal', 'internet')",12
"('automatically', 'renew', 'unless')",11
"('automatically', 'renews', 'unless')",11
"('collaborate', 'real', 'time')",11
"('current', 'period', 'account')",11
"('subscription', 'automatically', 'renew')",11
"('canceled', 'least', 'hours')",10
"('confirmation', 'purchase', 'subscription')",10
"('subscription', 'automatically', 'renews')",10
"('unless', 'canceled', 'least')",10
"('apple', 'id', 'account')",9
"('auto', 'renew', 'turned')",9
"('current', 'subscription', 'period')",9
"('free', 'trial', 'period')",9
"('unless', 'auto', 'renew')",9
"('active', 'subscription', 'period')",8
"('itunes', 'account', 'settings')",8
"('privacy', 'policy', 'terms')",8
"('real', 'time', 'collaboration')",8
"('renew', 'turned', 'least')",8
"('charged', 'apple', 'id')",7
"('current', 'period', 'manage')",7
"('end', 'current', 'subscription')",7
"('id', 'account', 'confirmation')",7
"('itunes', 'account', 'confirmation')",7
"('let', 'us', 'know')",7
"('note', 'taking', 'experience')",7
"('payment', 'charged', 'apple')",7
"('payment', 'charged', 'itunes')",7
"('portion', 'free', 'trial')",7
"('privacy', 'policy', 'http')",7
"('renews', 'unless', 'canceled')",7
"('simple', 'easy', 'use')",7
"('terms', 'conditions', 'https')",7
"('terms', 'privacy', 'policy')",7
"('unused', 'portion', 'free')",7
"('use', 'https', 'wwwapplecom')",7
"('cancel', 'subscriptions', 'going')",6
"('cancellation', 'current', 'subscription')",6
"('create', 'mind', 'maps')",6
"('current', 'subscription', 'allowed')",6
"('cut', 'copy', 'paste')",6
"('end', 'end', 'encrypted')",6
"('full', 'text', 'search')",6
"('ipad', 'apple', 'pencil')",6
"('manage', 'cancel', 'subscriptions')",6
"('period', 'manage', 'cancel')",6
"('please', 'feel', 'free')",6
"('policy', 'terms', 'use')",6
"('account', 'settings', 'app')",5
"('across', 'multiple', 'devices')",5
"('allowed', 'active', 'subscription')",5
"('apple', 'pencil', 'finger')",5
"('available', 'iphone', 'ipad')",5
"('charged', 'credit', 'card')",5
"('draw', 'perfect', 'shapes')",5
"('edrawmind', 'mind', 'map')",5
"('feel', 'free', 'contact')",5
"('free', 'contact', 'us')",5
"('generate', 'new', 'ideas')",5
"('get', 'things', 'done')",5
"('going', 'account', 'settings')",5
"('handwriting', 'typed', 'text')",5
"('invite', 'team', 'members')",5
"('itunes', 'account', 'charged')",5
"('may', 'vary', 'location')",5
"('mind', 'mapping', 'app')",5
"('move', 'resize', 'rotate')",5
"('note', 'taking', 'application')",5
"('price', 'may', 'vary')",5
"('privacy', 'terms', 'service')",5
"('settings', 'app', 'store')",5
"('share', 'mind', 'maps')",5
"('subscription', 'allowed', 'active')",5
"('subscription', 'automatically', 'renewed')",5
"('subscription', 'payment', 'charged')",5
"('sync', 'across', 'devices')",5
"('team', 'members', 'edit')",5
"('touch', 'id', 'face')",5
"('turn', 'auto', 'renew')",5
"('use', 'lynx', 'whiteboard')",5
