word,frequency
app,2367
language,1642
languages,1373
translate,1339
translation,776
use,734
apple,696
please,657
add,650
google,602
doesnt,562
like,539
work,477
english,456
support,443
dont,426
even,400
ukrainian,393
cant,380
would,367
spanish,359
one,353
time,345
text,326
need,324
im,290
better,287
good,280
hindi,274
translator,255
ios,251
download,250
also,249
update,243
really,236
want,233
get,221
many,217
word,214
make,202
translations,200
bad,200
used,196
apps,195
words,195
available,189
option,188
using,188
people,187
button,186
back,180
working,180
know,177
works,172
translated,171
fix,169
offline,168
could,166
much,165
great,163
iphone,163
still,160
something,158
switch,157
way,156
translating,156
copy,154
chinese,151
indian,150
try,150
application,147
well,145
see,143
needs,142
type,142
turkish,136
lot,134
go,134
change,134
speak,131
useless,131
give,126
say,126
every,126
tried,124
nothing,120
trying,119
different,117
downloaded,114
feature,112
ive,112
thai,111
phone,111
new,110
another,109
think,109
world,107
find,106
japanese,105
sometimes,104
first,104
french,101
understand,100
always,100
anything,100
