sep=,
From: 2010-02-22,Store: itunes,Cid: 188320,To: 2024-02-22,Ext_id: 584291439
Submission date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Reply Delta,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
2024-02-12T19:04:22,584291439,Yandex Translate,ar,en,24.2.0,Aeseimandi,5,Nice,Is simple and beautiful. My favorite app,,,2024-02-14T08:23:22,37:19:00,It's great that you enjoyed using our Translate. Thank you for your feedback! We plan to keep making you happy.,,,,2024-02-15T05:00:33,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10931642204,https://appfollow.io/app/29751/review/243054201?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=243054201
2024-02-10T04:45:59,584291439,Yandex Translate,uz,en,24.2.0,nmdkslalapl,5,I hate this app.app translate wrong,You don’t download it,,,2024-02-11T17:27:23,36:41:24,"Please send us here or via the settings → ""Feedback"" an example of the translation that caused questions. Indicate the text that was translated into which language and what the result was. We will definitely check!",,,,2024-02-12T11:59:43,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10922001303,https://appfollow.io/app/29751/review/242556370?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=242556370
2024-02-09T15:57:09,584291439,Yandex Translate,us,en,24.2.0,cristain toribio jr 1,5,I recommend  people download worldwide,I recommend  people worldwide download  Yandex  translate and give your feedback good or bad suggestions and I see new update everyday and good day,,,,,,,,,2024-02-11T08:14:29,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10920061377,https://appfollow.io/app/29751/review/242478640?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=242478640
2024-02-04T11:03:23,584291439,Yandex Translate,ru,en,24.2.0,Tay_Jen223,5,Top,Literally the best app for translating,,,,,,,,,2024-02-05T22:12:51,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10900275273,https://appfollow.io/app/29751/review/241323352?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=241323352
2024-02-02T09:40:51,584291439,Yandex Translate,tr,en,24.1.0,Romantic Punk,5,Perfect,You’re perfect. You are the best.,,,2024-02-04T02:43:27,41:02:36,Thank you for your support and great inspiring feedback!,,,,2024-02-04T03:48:46,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10892050212,https://appfollow.io/app/29751/review/241007359?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=241007359
2024-01-27T22:26:57,584291439,Yandex Translate,us,en,24.1.0,Newclear Fishion,5,This generation of technology’s finest translator service,"Learning languages was truly tough until I started utilizing a combination of this and a tiny speck of chat GPT to answer all of the boldest questions.

Took me from a rut after 4 months of learning Spanish feeling like groundhog day to me confidently switching my phone apps and the phone itself to various Romantic languages because I am really getting the hang of this stuff now, and this app is no small part.

Until the next generation of apps, where perhapps, you can have two versions of the same app but different settings for each so that you can practice your target fluency language (like Spanish, I want to know it at a scholarly and street level) and my next language of interest (which for me includes Russian, Arabic, Greek, and even Hindi when I get around to it).

Til then, you can make tons of progress by just scrolling down on this app, and will turn headaches to eurekas, all day long.",,,2024-01-29T10:24:22,35:57:25,"Wow, thank you for your detailed review and for appreciating our work! Reviews like yours make our team happy.",,,,2024-01-29T11:52:01,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10871424301,https://appfollow.io/app/29751/review/236068454?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=236068454
2024-01-24T14:47:43,584291439,Yandex Translate,be,en,24.1.0,divx43,5,Favourite translator,The best translator app I know,,,2024-01-27T15:10:43,72:23:00,Thank you! We're glad to be on your top list — we'll try to stick around :),,,,2024-01-26T11:44:51,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10858826998,https://appfollow.io/app/29751/review/238984720?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=238984720
2024-01-24T05:22:33,584291439,Yandex Translate,uz,en,24.1.0,D.M.umar,5,Really fascinating app,"Each translation with synonyms and antonyms,furthermore same work in offline mode 👍👌",,,2024-01-27T15:04:38,81:42:05,It's great that you liked Yandex Translate. We really enjoy reading such reviews. Thank you!,,,,2024-01-25T19:38:18,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10857354804,https://appfollow.io/app/29751/review/238807988?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=238807988
2024-01-22T11:01:25,584291439,Yandex Translate,kh,en,24.1.0,Hiro@kl,1,ver.2.4.10 has bug,"you should  not update to ver. 2.4.10.
 because in 2.4.10 , you can not edit in input field.
I love Yandex translate because it's possible to translate for long document and in that time I can edit the document that put in input field using return key to cut some long sentences.
it was so useful , but in ver.2.4.10 , it's not possible to use return key....
I feel so so so sad.....",,,2024-01-27T14:53:56,123:52:31,"We will be grateful, if you send us a screenshot and a more detailed description of the situation via this feedback form: https://ya.cc/translate_ios_sup_en",,,,2024-01-23T19:44:01,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10850699638,https://appfollow.io/app/29751/review/238109404?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=238109404
2024-01-20T14:18:36,584291439,Yandex Translate,uz,en,24.1.0,Mooneyflower,5,It is a very good app.,I am happy of using this app. Thank you to creators of this app.,,,2024-01-27T14:43:53,168:25:17,This is the kind of feedback we work for. Thank you for your words of support!,,,,2024-01-22T03:46:41,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10843426084,https://appfollow.io/app/29751/review/237771486?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=237771486
2024-01-14T08:57:04,584291439,Yandex Translate,ru,en,23.24.1,CandyBlueSky,5,Nice,I like this translation app!,,,2018-09-21T14:29:51,,Здравствуйте! Спасибо за предложения!,,,,2024-01-16T04:12:52,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10820302639,https://appfollow.io/app/29751/review/121144518?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=121144518
2024-01-05T07:16:27,584291439,Yandex Translate,tr,en,23.24.1,Ayla Altayoglu,4,Voice,"I like this app, translation is good, but what happened with the sound? Like a robot is speaking, I can’t get complete pronunciation and in settings I couldn’t change anything",,,2024-01-27T14:02:03,534:45:36,"Tell me, please, have problems with voice acting appeared in the application or the web version of the Translate?",,,,2024-01-12T10:36:20,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10785845800,https://appfollow.io/app/29751/review/236068100?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=236068100
2023-12-31T22:40:32,584291439,Yandex Translate,za,en,23.24.1,Jackie’s poopp,5,Free no ads = this app,"Plz add more features to the watch
Would appreciate an offline mode on the watch version",,,2024-01-27T13:52:10,639:11:38,Thank you for helping us make Yandex Translate more convenient! We'll definitely consider your suggestion.,,,,2024-01-12T10:36:52,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10768387720,https://appfollow.io/app/29751/review/236068474?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=236068474
2023-12-20T14:45:59,584291439,Yandex Translate,pl,en,23.24.0,humanGhom,2,App isn’t work anymore,The app doesn’t work even when my connection is working fine.,,,,,,,,,2024-01-12T10:35:22,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10722790742,https://appfollow.io/app/29751/review/236067923?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=236067923
2023-12-17T16:52:34,584291439,Yandex Translate,in,en,23.24.0,Kaushik prabhu,5,Yandex Translation,World's best translation my Think Try it and enjoy!!,,,,,,,,,2024-01-12T10:34:29,,,,,0,0,https://appstoreconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/584291439/ios/ratingsResponses?reviewId=10709834055,https://appfollow.io/app/29751/review/236067499?s=global5,https://watch.appfollow.io/apps/worldwide/reviews/565780?review_id=236067499
